rank,playerName,team,position,ecr,vECR
1,Christian McCaffrey,CAR,RB,1,0
2,Dalvin Cook,MIN,RB,2,0
3,Derrick Henry,TEN,RB,4,1
4,Ezekiel Elliott,DAL,RB,5,1
5,Alvin Kamara,NO,RB,3,-2
6,Aaron Jones,GB,RB,6,0
7,Austin Ekeler,LAC,RB,13,6
8,Saquon Barkley,NYG,RB,8,0
9,Davante Adams,GB,WR,7,-2
10,Najee Harris,PIT,RB,20,10
11,Antonio Gibson,WAS,RB,17,6
12,Nick Chubb,CLE,RB,10,-2
13,Jonathan Taylor,IND,RB,12,-1
14,Stefon Diggs,BUF,WR,11,-3
15,Travis Kelce,KC,TE,14,-1
16,Tyreek Hill,KC,WR,9,-7
17,Calvin Ridley,ATL,WR,15,-2
18,Joe Mixon,CIN,RB,19,1
19,J.K. Dobbins,BAL,RB,30,11
20,DeAndre Hopkins,ARI,WR,16,-4
21,Clyde Edwards-Helaire,KC,RB,25,4
22,DK Metcalf,SEA,WR,18,-4
23,Keenan Allen,LAC,WR,23,0
24,James Robinson,JAC,RB,39,15
25,A.J. Brown,TEN,WR,21,-4
26,Justin Jefferson,MIN,WR,22,-4
27,Darren Waller,LV,TE,24,-3
28,Chris Carson,SEA,RB,31,3
29,D'Andre Swift,DET,RB,32,3
30,David Montgomery,CHI,RB,33,3
31,Terry McLaurin,WAS,WR,27,-4
32,Allen Robinson,CHI,WR,26,-6
33,CeeDee Lamb,DAL,WR,29,-4
34,Amari Cooper,DAL,WR,38,4
35,Darrell Henderson,LAR,RB,40,5
36,Cooper Kupp,LAR,WR,45,9
37,George Kittle,SF,TE,34,-3
38,Julio Jones,TEN,WR,43,5
39,Tyler Lockett,SEA,WR,47,8
40,Diontae Johnson,PIT,WR,49,9
41,Robert Woods,LAR,WR,36,-5
42,Chris Godwin,TB,WR,37,-5
43,Mike Evans,TB,WR,35,-8
44,Brandon Aiyuk,SF,WR,58,14
45,Miles Sanders,PHI,RB,41,-4
46,D.J. Moore,CAR,WR,44,-2
47,Tee Higgins,CIN,WR,59,12
48,Adam Thielen,MIN,WR,51,3
49,Chase Edmonds,ARI,RB,62,13
50,Ja'Marr Chase,CIN,WR,70,20
51,Kenny Golladay,NYG,WR,64,13
52,Damien Harris,NE,RB,63,11
53,T.J. Hockenson,DET,TE,55,2
54,Patrick Mahomes,KC,QB,28,-26
55,Kyler Murray,ARI,QB,53,-2
56,Josh Allen,BUF,QB,42,-14
57,Lamar Jackson,BAL,QB,57,0
58,Myles Gaskin,MIA,RB,52,-6
59,Kyle Pitts,ATL,TE,56,-3
60,Josh Jacobs,LV,RB,46,-14
61,Mike Davis,ATL,RB,48,-13
62,Kareem Hunt,CLE,RB,50,-12
63,Antonio Brown,TB,WR,101,38
64,Jerry Jeudy,DEN,WR,76,12
65,Trey Sermon,SF,RB,74,9
66,Dak Prescott,DAL,QB,61,-5
67,Javonte Williams,DEN,RB,60,-7
68,Courtland Sutton,DEN,WR,78,10
69,Russell Wilson,SEA,QB,66,-3
70,Chase Claypool,PIT,WR,68,-2
71,Odell Beckham,CLE,WR,65,-6
72,Aaron Rodgers,GB,QB,69,-3
73,DeVonta Smith,PHI,WR,100,27
74,Robert Tonyan,GB,TE,94,20
75,Robby Anderson,CAR,WR,79,4
76,Justin Herbert,LAC,QB,73,-3
77,Deebo Samuel,SF,WR,88,11
78,Mark Andrews,BAL,TE,54,-24
79,Michael Gallup,DAL,WR,114,35
80,Gus Edwards,BAL,RB,96,16
81,Jaylen Waddle,MIA,WR,123,42
82,Laviska Shenault Jr.,JAC,WR,110,28
83,JuJu Smith-Schuster,PIT,WR,77,-6
84,Jarvis Landry,CLE,WR,104,20
85,Melvin Gordon III,DEN,RB,71,-14
86,Tom Brady,TB,QB,89,3
87,Zack Moss,BUF,RB,84,-3
88,Dallas Goedert,PHI,TE,91,3
89,Tyler Boyd,CIN,WR,81,-8
90,Ryan Tannehill,TEN,QB,83,-7
91,AJ Dillon,GB,RB,98,7
92,Jakobi Meyers,NE,WR,158,66
93,Marquez Callaway,NO,WR,253,160
94,Jalen Hurts,PHI,QB,95,1
95,Will Fuller V,MIA,WR,99,4
96,Mike Williams,LAC,WR,113,17
97,Marvin Jones Jr.,JAC,WR,119,22
98,Tyler Higbee,LAR,TE,102,4
99,Noah Fant,DEN,TE,80,-19
100,Logan Thomas,WAS,TE,85,-15
101,Irv Smith Jr.,MIN,TE,115,14
102,Matthew Stafford,LAR,QB,93,-9
103,Jonnu Smith,NE,TE,116,13
104,Joe Burrow,CIN,QB,107,3
105,Raheem Mostert,SF,RB,67,-38
106,Michael Carter,NYJ,RB,75,-31
107,Curtis Samuel,WAS,WR,109,2
108,David Johnson,HOU,RB,97,-11
109,Tony Pollard,DAL,RB,111,2
110,J.D. McKissic,WAS,RB,132,22
111,D.J. Chark Jr.,JAC,WR,90,-21
112,Trey Lance,SF,QB,180,68
113,Trevor Lawrence,JAC,QB,129,16
114,Justin Fields,CHI,QB,156,42
115,Kirk Cousins,MIN,QB,134,19
116,Mike Gesicki,MIA,TE,112,-4
117,Corey Davis,NYJ,WR,105,-12
118,Brandin Cooks,HOU,WR,87,-31
119,Baker Mayfield,CLE,QB,138,19
120,Leonard Fournette,TB,RB,86,-34
121,Ronald Jones,TB,RB,72,-49
122,James Conner,ARI,RB,82,-40
123,Elijah Moore,NYJ,WR,151,28
124,Michael Thomas,NO,WR,117,-7
125,Matt Ryan,ATL,QB,127,2
126,Sterling Shepard,NYG,WR,154,28
127,Emmanuel Sanders,BUF,WR,165,38
128,Darnell Mooney,CHI,WR,125,-3
129,Russell Gage,ATL,WR,137,8
130,Bryan Edwards,LV,WR,184,54
131,Michael Pittman Jr.,IND,WR,124,-7
132,Rob Gronkowski,TB,TE,131,-1
133,Evan Engram,NYG,TE,121,-12
134,Kenyan Drake,LV,RB,92,-42
135,Mecole Hardman,KC,WR,135,0
136,Gerald Everett,SEA,TE,141,5
137,Tua Tagovailoa,MIA,QB,140,3
138,Adam Trautman,NO,TE,146,8
139,Jamaal Williams,DET,RB,103,-36
140,Carson Wentz,IND,QB,199,59
141,Nelson Agholor,NE,WR,152,11
142,Daniel Jones,NYG,QB,161,19
143,Terrace Marshall Jr.,CAR,WR,204,61
144,Ryan Fitzpatrick,WAS,QB,153,9
145,DeVante Parker,MIA,WR,122,-23
146,Derek Carr,LV,QB,160,14
147,Henry Ruggs III,LV,WR,142,-5
148,Ben Roethlisberger,PIT,QB,157,9
149,Marquise Brown,BAL,WR,126,-23
150,Devin Singletary,BUF,RB,106,-44
151,Cam Newton,NE,QB,225,74
152,Jalen Reagor,PHI,WR,155,3
153,Jameis Winston,NO,QB,215,62
154,Phillip Lindsay,HOU,RB,118,-36
155,Sam Darnold,CAR,QB,186,31
156,Zach Wilson,NYJ,QB,182,26
157,Malcolm Brown,MIA,RB,176,19
158,Hunter Henry,NE,TE,133,-25
159,Rondale Moore,ARI,WR,172,13
160,Rashod Bateman,BAL,WR,162,2
161,Cole Kmet,CHI,TE,145,-16
162,Austin Hooper,CLE,TE,148,-14
163,A.J. Green,ARI,WR,197,34
164,Amon-Ra St. Brown,DET,WR,200,36
165,Breshad Perriman,DET,WR,193,28
166,Parris Campbell,IND,WR,183,17
167,Anthony Firkser,TEN,TE,167,0
168,Blake Jarwin,DAL,TE,147,-21
169,Nyheim Hines,IND,RB,108,-61
170,Latavius Murray,NO,RB,120,-50
171,Tre'Quan Smith,NO,WR,159,-12
172,Christian Kirk,ARI,WR,181,9
173,Gabriel Davis,BUF,WR,168,-5
174,Jared Cook,LAC,TE,144,-30
175,Eric Ebron,PIT,TE,169,-6
176,Rashaad Penny,SEA,RB,149,-27
177,Alexander Mattison,MIN,RB,130,-47
